Source,Destination,Distance_km,Fuel_Price,Peak_Season,Travel_Mode,Hotel_Type,Food_Preference,Days,Travelers,Cost,"Weather (Sunny, Rainy, Snowy, Cloudy)","Holiday Type (Festival, Weekend, Vacation, Business)",Discount (Yes/No),Travel Insurance (Yes/No),Start_Date,End_Date,Trip_Duration,Start_Month,Start_Year,Travel_Class,Price_Multiplier
Chennai,Delhi,2052,105.84,No,Train,Budget,Mixed,4,4,41517.44,Cloudy,Vacation,No,Yes,16-06-2025,20-06-2025,4,6,2025,3A,1
Goa,Bhopal,1052,95.32,No,Train,Budget,Non-Veg,8,1,10373.44,Sunny,Vacation,Yes,No,19-07-2024,27-07-2024,8,7,2024,3A,1
Bangalore,Kerala,468,104.89,No,Train,Standard,Non-Veg,10,4,91710.33,Cloudy,Weekend,No,Yes,14-02-2025,24-02-2025,10,2,2025,3A,1
Udaipur,Rishikesh,882,107.79,Yes,Train,Standard,Vegan,15,3,218869.57,Sunny,Festival,No,Yes,26-05-2025,10-06-2025,15,5,2025,SL,0.7
Ahmedabad,Indore,406,98.88,No,Train,Budget,Non-Veg,9,2,26033.59,Sunny,Vacation,No,No,25-02-2025,06-03-2025,9,2,2025,2A,1.2
Chennai,Pune,1082,101.35,No,Car,Standard,Veg,8,1,23576.13,Cloudy,Vacation,Yes,Yes,03-09-2024,11-09-2024,8,9,2024,Economy,1
Agra,Jaipur,255,95.41,Yes,Bus,Luxury,Vegan,2,5,85221.92,Rainy,Vacation,No,Yes,09-10-2024,11-10-2024,2,10,2024,Non-AC Sleeper,1.1
Surat,Kolkata,2213,97.93,No,Flight,Standard,Veg,13,2,132866.76,Sunny,Festival,Yes,Yes,24-05-2025,06-06-2025,13,5,2025,Business,1.8
Jaipur,Delhi,276,110.8,No,Car,Budget,Veg,9,3,38137.9,Cloudy,Business,No,No,18-09-2024,27-09-2024,9,9,2024,Economy,1
Goa,Hyderabad,629,97.61,No,Flight,Standard,Veg,3,1,18167.88,Sunny,Festival,No,No,25-08-2024,28-08-2024,3,8,2024,Business,1.8
Chennai,Ahmedabad,1783,105.52,No,Flight,Budget,Veg,15,3,84900.55,Rainy,Vacation,No,No,11-08-2025,26-08-2025,15,8,2025,Premium Economy,1.3
Indore,Chandigarh,1000,108.8,No,Train,Luxury,Veg,12,1,69619.62,Sunny,Festival,Yes,Yes,04-03-2024,16-03-2024,12,3,2024,EconomyA,1.4
Kolkata,Bangalore,1928,105.85,No,Flight,Budget,Veg,8,1,30822.04,Sunny,Business,Yes,Yes,29-07-2025,06-08-2025,8,7,2025,Economy,1
Bangalore,Chandigarh,2595,102.92,No,Train,Resort,Vegan,13,1,135260.76,Cloudy,Weekend,Yes,Yes,26-05-2024,08-06-2024,13,5,2024,SL,0.7
Bangalore,Chennai,342,104.82,No,Train,Resort,Non-Veg,14,2,388909.53,Rainy,Business,No,No,28-01-2024,11-02-2024,14,1,2024,EconomyA,1.4
Kolkata,Pune,1979,105.54,No,Flight,Budget,Non-Veg,3,3,72963.91,Cloudy,Festival,No,No,17-12-2024,20-12-2024,3,12,2024,Economy,1
Jaipur,Mumbai,1061,111.81,No,Train,Luxury,Non-Veg,6,1,56876.34,Cloudy,Vacation,No,No,01-06-2025,07-06-2025,6,6,2025,SL,0.7
Nagpur,Rishikesh,1267,104.05,No,Flight,Budget,Veg,6,1,20628.45,Cloudy,Weekend,Yes,No,25-06-2025,01-07-2025,6,6,2025,Business,1.8
Ahmedabad,Surat,262,95.74,No,Car,Standard,Mixed,15,3,123710.75,Rainy,Vacation,No,No,14-04-2024,29-04-2024,15,4,2024,Economy,1
Hyderabad,Surat,832,108.32,No,Flight,Budget,Non-Veg,10,1,22279.94,Sunny,Weekend,No,No,06-01-2024,16-01-2024,10,1,2024,Business,1.8
Bangalore,Kerala,471,100.69,No,Flight,Budget,Mixed,6,1,16948.21,Sunny,Vacation,No,Yes,01-02-2025,07-02-2025,6,2,2025,Premium Economy,1.3
Kerala,Kolkata,2291,107.05,No,Flight,Budget,Vegan,7,1,24624.39,Sunny,Weekend,No,Yes,21-05-2025,28-05-2025,7,5,2025,Economy,1
Varanasi,Chandigarh,911,98.03,No,Flight,Budget,Veg,7,1,16503.51,Sunny,Vacation,Yes,No,21-10-2024,28-10-2024,7,10,2024,Premium Economy,1.3
Kolkata,Pune,1837,106.12,No,Bus,Budget,Veg,2,4,22148.8,Rainy,Vacation,No,No,03-03-2025,05-03-2025,2,3,2025,Non-AC Sleeper,1.1
Kerala,Lucknow,2595,107.66,No,Train,Luxury,Mixed,3,3,49463.68,Rainy,Vacation,Yes,Yes,21-11-2024,24-11-2024,3,11,2024,3A,1
Kolkata,Lucknow,1169,104.43,No,Train,Budget,Vegan,7,1,11524.25,Cloudy,Weekend,No,Yes,06-06-2025,13-06-2025,7,6,2025,3A,1
Goa,Surat,833,97.03,No,Flight,Budget,Vegan,3,4,42062.59,Sunny,Vacation,Yes,No,11-09-2024,14-09-2024,3,9,2024,Economy,1
Chennai,Lucknow,1884,103.94,No,Flight,Budget,Veg,2,3,42371.74,Rainy,Weekend,Yes,No,11-03-2025,13-03-2025,2,3,2025,Business,1.8
Bhopal,Jaipur,564,107.5,No,Train,Budget,Vegan,8,1,11086.67,Sunny,Vacation,Yes,No,10-08-2025,18-08-2025,8,8,2025,SL,0.7
Bhopal,Kolkata,1226,108.35,No,Train,Luxury,Non-Veg,11,3,240237.13,Sunny,Vacation,Yes,Yes,10-12-2024,21-12-2024,11,12,2024,SL,0.7
Chandigarh,Agra,466,95.47,Yes,Flight,Luxury,Veg,12,4,317973.69,Cloudy,Festival,Yes,No,04-02-2025,16-02-2025,12,2,2025,Business,1.8
Udaipur,Kerala,2134,108.2,No,Train,Standard,Mixed,12,3,146665.62,Sunny,Weekend,No,Yes,12-03-2025,24-03-2025,12,3,2025,EconomyA,1.4
Agra,Surat,1106,98.52,No,Flight,Standard,Non-Veg,13,2,96935.95,Sunny,Festival,No,No,21-10-2024,03-11-2024,13,10,2024,Economy,1
Bhopal,Jaipur,504,109.56,Yes,Car,Standard,Non-Veg,7,2,75626.92,Sunny,Vacation,No,Yes,27-02-2024,05-03-2024,7,2,2024,Economy,1
Bangalore,Varanasi,1940,101.15,No,Flight,Luxury,Non-Veg,8,1,77587.97,Sunny,Vacation,No,No,14-03-2024,22-03-2024,8,3,2024,Economy,1
Jaipur,Bhopal,466,111.87,No,Train,Budget,Non-Veg,11,2,30567.79,Cloudy,Weekend,No,No,03-06-2025,14-06-2025,11,6,2025,2A,1.2
Pune,Bhopal,835,105.53,No,Train,Budget,Non-Veg,8,1,14390.22,Cloudy,Vacation,No,Yes,17-03-2024,25-03-2024,8,3,2024,EconomyA,1.4
Agra,Delhi,211,95.24,No,Car,Budget,Non-Veg,13,2,29875.53,Sunny,Vacation,No,Yes,05-05-2025,18-05-2025,13,5,2025,Economy,1
Bangalore,Delhi,2125,103.26,No,Flight,Budget,Vegan,11,2,65021.78,Cloudy,Weekend,No,Yes,18-04-2025,29-04-2025,11,4,2025,Premium Economy,1.3
Jaipur,Bhopal,603,107.75,No,Train,Luxury,Non-Veg,9,4,204751.47,Sunny,Weekend,No,No,20-01-2024,29-01-2024,9,1,2024,SL,0.7
Kolkata,Nagpur,1122,107.17,No,Flight,Luxury,Veg,10,1,70595.95,Snowy,Festival,No,Yes,02-04-2024,12-04-2024,10,4,2024,Economy,1
Ahmedabad,Surat,254,97.09,No,Bus,Budget,Non-Veg,15,1,26277.52,Rainy,Festival,No,No,18-01-2024,02-02-2024,15,1,2024,AC Sleeper,1.3
Mumbai,Kerala,1341,105.29,No,Train,Budget,Non-Veg,14,1,25729.39,Sunny,Festival,No,No,12-04-2024,26-04-2024,14,4,2024,2A,1.2
Kolkata,Lucknow,1052,104.37,No,Train,Budget,Mixed,3,2,10822.11,Sunny,Weekend,Yes,No,25-12-2024,28-12-2024,3,12,2024,3A,1
Chennai,Goa,872,103.22,No,Train,Standard,Veg,9,1,28636.7,Cloudy,Business,No,No,19-08-2024,28-08-2024,9,8,2024,2A,1.2
Bangalore,Indore,1463,103.08,No,Train,Standard,Veg,7,3,72523.99,Rainy,Weekend,Yes,Yes,08-05-2025,15-05-2025,7,5,2025,3A,1
Agra,Bhopal,532,97.97,No,Train,Budget,Non-Veg,4,4,22780.17,Cloudy,Festival,Yes,No,01-08-2024,05-08-2024,4,8,2024,SL,0.7
Bangalore,Chandigarh,2387,104.84,No,Car,Standard,Non-Veg,10,4,144328.79,Cloudy,Vacation,No,No,31-05-2024,10-06-2024,10,5,2024,Economy,1
Nagpur,Jaipur,854,107.72,Yes,Bus,Budget,Veg,14,1,37073.07,Cloudy,Weekend,No,No,15-03-2025,29-03-2025,14,3,2025,Non-AC Sleeper,1.1
Rishikesh,Udaipur,903,94.6,No,Car,Standard,Veg,6,5,101980.57,Sunny,Weekend,No,Yes,03-06-2025,09-06-2025,6,6,2025,Economy,1
Hyderabad,Udaipur,1269,111.61,No,Flight,Standard,Veg,10,3,173084.93,Cloudy,Vacation,No,Yes,18-09-2024,28-09-2024,10,9,2024,Premium Economy,1.3
Mumbai,Surat,298,109.99,No,Train,Standard,Non-Veg,8,4,76168.61,Sunny,Festival,Yes,No,20-04-2024,28-04-2024,8,4,2024,2A,1.2
Mumbai,Varanasi,1548,109.23,No,Flight,Standard,Non-Veg,5,3,97353.72,Sunny,Weekend,No,No,22-08-2025,27-08-2025,5,8,2025,Business,1.8
Bangalore,Rishikesh,2452,100.58,No,Train,Budget,Non-Veg,5,3,38786.24,Rainy,Weekend,No,No,06-08-2025,11-08-2025,5,8,2025,2A,1.2
Bangalore,Mumbai,1136,100.86,No,Flight,Standard,Non-Veg,10,2,129760.75,Sunny,Business,No,No,18-04-2025,28-04-2025,10,4,2025,Economy,1
Ahmedabad,Rishikesh,1172,98.9,No,Flight,Standard,Veg,8,1,49444.25,Cloudy,Business,No,Yes,22-08-2025,30-08-2025,8,8,2025,Business,1.8
Hyderabad,Surat,880,110.8,No,Flight,Budget,Non-Veg,10,1,20832.61,Cloudy,Weekend,No,No,21-03-2025,31-03-2025,10,3,2025,Premium Economy,1.3
Chennai,Udaipur,1702,105.81,Yes,Train,Luxury,Veg,12,1,114816.29,Cloudy,Weekend,No,No,23-02-2024,06-03-2024,12,2,2024,3A,1
Goa,Pune,480,95.02,No,Car,Luxury,Mixed,2,5,42274.46,Rainy,Weekend,Yes,No,13-12-2024,15-12-2024,2,12,2024,Economy,1
Ahmedabad,Delhi,969,96.59,No,Car,Luxury,Mixed,15,1,116343.16,Sunny,Business,No,Yes,30-04-2024,15-05-2024,15,4,2024,Economy,1
Bangalore,Chandigarh,2334,101.76,No,Flight,Budget,Veg,3,5,130292.02,Sunny,Weekend,No,Yes,21-02-2025,24-02-2025,3,2,2025,Economy,1
Agra,Chandigarh,501,98.55,No,Train,Budget,Veg,5,2,13273.35,Cloudy,Vacation,Yes,No,08-04-2025,13-04-2025,5,4,2025,2A,1.2
Kolkata,Rishikesh,1848,106.27,Yes,Train,Budget,Mixed,8,4,63271.52,Cloudy,Vacation,Yes,Yes,22-04-2024,30-04-2024,8,4,2024,2A,1.2
Varanasi,Lucknow,283,95.66,No,Car,Luxury,Vegan,2,5,72349.68,Snowy,Weekend,No,Yes,10-07-2025,12-07-2025,2,7,2025,Economy,1
Chandigarh,Nagpur,1343,94.93,No,Flight,Standard,Non-Veg,12,4,132600.16,Cloudy,Vacation,Yes,No,13-01-2024,25-01-2024,12,1,2024,Premium Economy,1.3
Varanasi,Chennai,1690,96.16,No,Flight,Standard,Veg,12,5,248480.46,Cloudy,Business,No,No,16-08-2024,28-08-2024,12,8,2024,Business,1.8
Chandigarh,Hyderabad,1833,94.13,No,Flight,Luxury,Non-Veg,9,3,283891.84,Sunny,Festival,No,No,08-05-2024,17-05-2024,9,5,2024,Premium Economy,1.3
Chennai,Goa,846,105.43,No,Train,Standard,Mixed,3,3,38158.75,Rainy,Business,No,No,27-05-2024,30-05-2024,3,5,2024,SL,0.7
Chennai,Nagpur,1070,102.78,No,Train,Standard,Veg,11,3,76738.21,Rainy,Vacation,Yes,No,12-02-2024,23-02-2024,11,2,2024,3A,1
Kerala,Bhopal,1874,105.23,No,Flight,Standard,Veg,5,3,86409.64,Sunny,Vacation,No,Yes,19-02-2024,24-02-2024,5,2,2024,Business,1.8
Indore,Delhi,888,107.05,No,Car,Standard,Veg,5,1,17613.78,Rainy,Vacation,Yes,No,14-06-2024,19-06-2024,5,6,2024,Economy,1
Lucknow,Nagpur,815,97.63,No,Flight,Resort,Non-Veg,15,3,408159.77,Sunny,Vacation,No,Yes,28-09-2024,13-10-2024,15,9,2024,Premium Economy,1.3
Varanasi,Bhopal,854,97.1,No,Train,Standard,Veg,2,3,18978.11,Rainy,Festival,No,No,16-01-2025,18-01-2025,2,1,2025,SL,0.7
Chennai,Indore,1325,101.94,No,Train,Standard,Veg,9,3,90000.87,Rainy,Business,No,Yes,09-02-2024,18-02-2024,9,2,2024,EconomyA,1.4
Lucknow,Udaipur,890,96.36,No,Flight,Standard,Veg,13,1,60288.11,Sunny,Weekend,No,No,28-04-2025,11-05-2025,13,4,2025,Premium Economy,1.3
Hyderabad,Ahmedabad,996,110.19,No,Flight,Luxury,Non-Veg,13,1,127483.62,Cloudy,Festival,No,Yes,30-04-2024,13-05-2024,13,4,2024,Economy,1
Pune,Bangalore,887,104.51,No,Flight,Luxury,Veg,12,1,93456.17,Cloudy,Business,Yes,No,24-08-2025,05-09-2025,12,8,2025,Business,1.8
Bangalore,Varanasi,1920,101.73,No,Car,Budget,Non-Veg,13,2,44950.03,Sunny,Weekend,No,No,15-04-2025,28-04-2025,13,4,2025,Economy,1
Chennai,Jaipur,2172,104.35,Yes,Train,Standard,Veg,14,3,171665.5,Cloudy,Vacation,Yes,Yes,28-02-2025,14-03-2025,14,2,2025,EconomyA,1.4
Nagpur,Chandigarh,1377,108,No,Flight,Standard,Non-Veg,7,1,30127.17,Cloudy,Weekend,No,No,15-05-2025,22-05-2025,7,5,2025,Premium Economy,1.3
Bangalore,Jaipur,1877,104.67,No,Train,Budget,Non-Veg,14,2,46745.72,Sunny,Vacation,No,Yes,20-04-2025,04-05-2025,14,4,2025,SL,0.7
Varanasi,Udaipur,1378,95.24,No,Flight,Luxury,Veg,9,1,60909.88,Cloudy,Vacation,Yes,No,18-05-2024,27-05-2024,9,5,2024,Premium Economy,1.3
Bhopal,Hyderabad,836,110.67,No,Flight,Resort,Vegan,8,1,109763.71,Cloudy,Business,Yes,No,03-10-2024,11-10-2024,8,10,2024,Economy,1
Kolkata,Goa,2484,106.15,No,Train,Standard,Vegan,8,4,148567.4,Rainy,Weekend,No,Yes,10-08-2025,18-08-2025,8,8,2025,EconomyA,1.4
Lucknow,Goa,1976,97.18,No,Flight,Luxury,Non-Veg,14,1,77085.96,Rainy,Vacation,Yes,No,28-08-2024,11-09-2024,14,8,2024,Premium Economy,1.3
Udaipur,Delhi,626,109.59,No,Train,Budget,Non-Veg,7,2,27546.72,Cloudy,Business,No,Yes,20-06-2025,27-06-2025,7,6,2025,EconomyA,1.4
Nagpur,Surat,717,104.91,No,Flight,Luxury,Veg,13,1,83657.64,Rainy,Business,No,Yes,08-02-2025,21-02-2025,13,2,2025,Business,1.8
Nagpur,Ahmedabad,945,107.87,No,Flight,Luxury,Veg,12,2,194710.39,Rainy,Weekend,No,No,24-07-2024,05-08-2024,12,7,2024,Economy,1
