Trip_ID,Source,Destination,Distance_km,Fuel_Price,Peak_Season,Travel_Mode,Hotel_Type,Food_Preference,Days,Travelers,Cost,"Weather (Sunny, Rainy, Snowy, Cloudy)","Holiday Type (Festival, Weekend, Vacation, Business)",Discount (Yes/No),Travel Insurance (Yes/No),Ratings (1–5 stars),Start_Date,End_Date,Avg_Cost_per_Traveler
92,Bangalore,Kerala,471,100.69,No,Flight,Budget,Mixed,6,1,16948.21,Sunny,Vacation,No,Yes,3,2025-02-01,2025-02-07,16948.21
93,Kerala,Kolkata,2291,107.05,No,Flight,Budget,Vegan,7,1,24624.39,Sunny,Weekend,No,Yes,5,2025-05-21,2025-05-28,24624.39
94,Varanasi,Chandigarh,911,98.03,No,Flight,Budget,Veg,7,1,16503.51,Sunny,Vacation,Yes,No,4,2024-10-21,2024-10-28,16503.51
95,Kolkata,Pune,1837,106.12,No,Bus,Budget,Veg,2,4,22148.8,Rainy,Vacation,No,No,4,2025-03-03,2025-03-05,5537.2
96,Kerala,Lucknow,2595,107.66,No,Train,Luxury,Mixed,3,3,49463.68,Rainy,Vacation,Yes,Yes,4,2024-11-21,2024-11-24,16487.89
97,Kolkata,Lucknow,1169,104.43,No,Train,Budget,Vegan,7,1,11524.25,Cloudy,Weekend,No,Yes,5,2025-06-06,2025-06-13,11524.25
98,Goa,Surat,833,97.03,No,Flight,Budget,Vegan,3,4,42062.59,Sunny,Vacation,Yes,No,5,2024-09-11,2024-09-14,10515.65
99,Chennai,Lucknow,1884,103.94,No,Flight,Budget,Veg,2,3,42371.74,Rainy,Weekend,Yes,No,5,2025-03-11,2025-03-13,14123.91
100,Bhopal,Jaipur,564,107.5,No,Train,Budget,Vegan,8,1,11086.67,Sunny,Vacation,Yes,No,3,2025-08-10,2025-08-18,11086.67
101,Bhopal,Kolkata,1226,108.35,No,Train,Luxury,Non-Veg,11,3,240237.13,Sunny,Vacation,Yes,Yes,3,2024-12-10,2024-12-21,80079.04
102,Chandigarh,Agra,466,95.47,Yes,Flight,Luxury,Veg,12,4,317973.69,Cloudy,Festival,Yes,No,4,2025-02-04,2025-02-16,79493.42
103,Udaipur,Kerala,2134,108.2,No,Train,Standard,Mixed,12,3,146665.62,Sunny,Weekend,No,Yes,5,2025-03-12,2025-03-24,48888.54
104,Agra,Surat,1106,98.52,No,Flight,Standard,Non-Veg,13,2,96935.95,Sunny,Festival,No,No,5,2024-10-21,2024-11-03,48467.97
105,Bhopal,Jaipur,504,109.56,Yes,Car,Standard,Non-Veg,7,2,75626.92,Sunny,Vacation,No,Yes,3,2024-02-27,2024-03-05,37813.46
106,Bangalore,Varanasi,1940,101.15,No,Flight,Luxury,Non-Veg,8,1,77587.97,Sunny,Vacation,No,No,4,2024-03-14,2024-03-22,77587.97
107,Jaipur,Bhopal,466,111.87,No,Train,Budget,Non-Veg,11,2,30567.79,Cloudy,Weekend,No,No,1,2025-06-03,2025-06-14,15283.9
108,Pune,Bhopal,835,105.53,No,Train,Budget,Non-Veg,8,1,14390.22,Cloudy,Vacation,No,Yes,5,2024-03-17,2024-03-25,14390.22
109,Agra,Delhi,211,95.24,No,Car,Budget,Non-Veg,13,2,29875.53,Sunny,Vacation,No,Yes,5,2025-05-05,2025-05-18,14937.77
110,Bangalore,Delhi,2125,103.26,No,Flight,Budget,Vegan,11,2,65021.78,Cloudy,Weekend,No,Yes,3,2025-04-18,2025-04-29,32510.89
111,Jaipur,Bhopal,603,107.75,No,Train,Luxury,Non-Veg,9,4,204751.47,Sunny,Weekend,No,No,4,2024-01-20,2024-01-29,51187.87
112,Kolkata,Nagpur,1122,107.17,No,Flight,Luxury,Veg,10,1,70595.95,Snowy,Festival,No,Yes,5,2024-04-02,2024-04-12,70595.95
113,Ahmedabad,Surat,254,97.09,No,Bus,Budget,Non-Veg,15,1,26277.52,Rainy,Festival,No,No,5,2024-01-18,2024-02-02,26277.52
114,Mumbai,Kerala,1341,105.29,No,Train,Budget,Non-Veg,14,1,25729.39,Sunny,Festival,No,No,2,2024-04-12,2024-04-26,25729.39
115,Kolkata,Lucknow,1052,104.37,No,Train,Budget,Mixed,3,2,10822.11,Sunny,Weekend,Yes,No,4,2024-12-25,2024-12-28,5411.05
116,Chennai,Goa,872,103.22,No,Train,Standard,Veg,9,1,28636.7,Cloudy,Business,No,No,5,2024-08-19,2024-08-28,28636.7
117,Bangalore,Indore,1463,103.08,No,Train,Standard,Veg,7,3,72523.99,Rainy,Weekend,Yes,Yes,4,2025-05-08,2025-05-15,24174.66
118,Agra,Bhopal,532,97.97,No,Train,Budget,Non-Veg,4,4,22780.17,Cloudy,Festival,Yes,No,5,2024-08-01,2024-08-05,5695.04
119,Bangalore,Chandigarh,2387,104.84,No,Car,Standard,Non-Veg,10,4,144328.79,Cloudy,Vacation,No,No,1,2024-05-31,2024-06-10,36082.2
120,Nagpur,Jaipur,854,107.72,Yes,Bus,Budget,Veg,14,1,37073.07,Cloudy,Weekend,No,No,3,2025-03-15,2025-03-29,37073.07
121,Rishikesh,Udaipur,903,94.6,No,Car,Standard,Veg,6,5,101980.57,Sunny,Weekend,No,Yes,4,2025-06-03,2025-06-09,20396.11
122,Hyderabad,Udaipur,1269,111.61,No,Flight,Standard,Veg,10,3,173084.93,Cloudy,Vacation,No,Yes,5,2024-09-18,2024-09-28,57694.98
123,Mumbai,Surat,298,109.99,No,Train,Standard,Non-Veg,8,4,76168.61,Sunny,Festival,Yes,No,2,2024-04-20,2024-04-28,19042.15
124,Mumbai,Varanasi,1548,109.23,No,Flight,Standard,Non-Veg,5,3,97353.72,Sunny,Weekend,No,No,4,2025-08-22,2025-08-27,32451.24
125,Bangalore,Rishikesh,2452,100.58,No,Train,Budget,Non-Veg,5,3,38786.24,Rainy,Weekend,No,No,5,2025-08-06,2025-08-11,12928.75
126,Bangalore,Mumbai,1136,100.86,No,Flight,Standard,Non-Veg,10,2,129760.75,Sunny,Business,No,No,1,2025-04-18,2025-04-28,64880.37
127,Ahmedabad,Rishikesh,1172,98.9,No,Flight,Standard,Veg,8,1,49444.25,Cloudy,Business,No,Yes,4,2025-08-22,2025-08-30,49444.25
128,Hyderabad,Surat,880,110.8,No,Flight,Budget,Non-Veg,10,1,20832.61,Cloudy,Weekend,No,No,5,2025-03-21,2025-03-31,20832.61
129,Chennai,Udaipur,1702,105.81,Yes,Train,Luxury,Veg,12,1,114816.29,Cloudy,Weekend,No,No,4,2024-02-23,2024-03-06,114816.29
130,Goa,Pune,480,95.02,No,Car,Luxury,Mixed,2,5,42274.46,Rainy,Weekend,Yes,No,1,2024-12-13,2024-12-15,8454.89
131,Ahmedabad,Delhi,969,96.59,No,Car,Luxury,Mixed,15,1,116343.16,Sunny,Business,No,Yes,3,2024-04-30,2024-05-15,116343.16
132,Bangalore,Chandigarh,2334,101.76,No,Flight,Budget,Veg,3,5,130292.02,Sunny,Weekend,No,Yes,2,2025-02-21,2025-02-24,26058.4
133,Agra,Chandigarh,501,98.55,No,Train,Budget,Veg,5,2,13273.35,Cloudy,Vacation,Yes,No,3,2025-04-08,2025-04-13,6636.67
134,Kolkata,Rishikesh,1848,106.27,Yes,Train,Budget,Mixed,8,4,63271.52,Cloudy,Vacation,Yes,Yes,5,2024-04-22,2024-04-30,15817.88
135,Varanasi,Lucknow,283,95.66,No,Car,Luxury,Vegan,2,5,72349.68,Snowy,Weekend,No,Yes,4,2025-07-10,2025-07-12,14469.94
136,Chandigarh,Nagpur,1343,94.93,No,Flight,Standard,Non-Veg,12,4,132600.16,Cloudy,Vacation,Yes,No,5,2024-01-13,2024-01-25,33150.04
137,Varanasi,Chennai,1690,96.16,No,Flight,Standard,Veg,12,5,248480.46,Cloudy,Business,No,No,5,2024-08-16,2024-08-28,49696.09
138,Chandigarh,Hyderabad,1833,94.13,No,Flight,Luxury,Non-Veg,9,3,283891.84,Sunny,Festival,No,No,4,2024-05-08,2024-05-17,94630.61
139,Chennai,Goa,846,105.43,No,Train,Standard,Mixed,3,3,38158.75,Rainy,Business,No,No,4,2024-05-27,2024-05-30,12719.58
140,Chennai,Nagpur,1070,102.78,No,Train,Standard,Veg,11,3,76738.21,Rainy,Vacation,Yes,No,3,2024-02-12,2024-02-23,25579.4
141,Kerala,Bhopal,1874,105.23,No,Flight,Standard,Veg,5,3,86409.64,Sunny,Vacation,No,Yes,5,2024-02-19,2024-02-24,28803.21
142,Indore,Delhi,888,107.05,No,Car,Standard,Veg,5,1,17613.78,Rainy,Vacation,Yes,No,5,2024-06-14,2024-06-19,17613.78
143,Lucknow,Nagpur,815,97.63,No,Flight,Resort,Non-Veg,15,3,408159.77,Sunny,Vacation,No,Yes,4,2024-09-28,2024-10-13,136053.26
144,Varanasi,Bhopal,854,97.1,No,Train,Standard,Veg,2,3,18978.11,Rainy,Festival,No,No,3,2025-01-16,2025-01-18,6326.04
145,Chennai,Indore,1325,101.94,No,Train,Standard,Veg,9,3,90000.87,Rainy,Business,No,Yes,3,2024-02-09,2024-02-18,30000.29
146,Lucknow,Udaipur,890,96.36,No,Flight,Standard,Veg,13,1,60288.11,Sunny,Weekend,No,No,4,2025-04-28,2025-05-11,60288.11
147,Hyderabad,Ahmedabad,996,110.19,No,Flight,Luxury,Non-Veg,13,1,127483.62,Cloudy,Festival,No,Yes,4,2024-04-30,2024-05-13,127483.62
148,Pune,Bangalore,887,104.51,No,Flight,Luxury,Veg,12,1,93456.17,Cloudy,Business,Yes,No,3,2025-08-24,2025-09-05,93456.17
149,Bangalore,Varanasi,1920,101.73,No,Car,Budget,Non-Veg,13,2,44950.03,Sunny,Weekend,No,No,4,2025-04-15,2025-04-28,22475.01
150,Chennai,Jaipur,2172,104.35,Yes,Train,Standard,Veg,14,3,171665.5,Cloudy,Vacation,Yes,Yes,1,2025-02-28,2025-03-14,57221.83
151,Nagpur,Chandigarh,1377,108.0,No,Flight,Standard,Non-Veg,7,1,30127.17,Cloudy,Weekend,No,No,3,2025-05-15,2025-05-22,30127.17
152,Bangalore,Jaipur,1877,104.67,No,Train,Budget,Non-Veg,14,2,46745.72,Sunny,Vacation,No,Yes,3,2025-04-20,2025-05-04,23372.86
153,Varanasi,Udaipur,1378,95.24,No,Flight,Luxury,Veg,9,1,60909.88,Cloudy,Vacation,Yes,No,4,2024-05-18,2024-05-27,60909.88
154,Bhopal,Hyderabad,836,110.67,No,Flight,Resort,Vegan,8,1,109763.71,Cloudy,Business,Yes,No,4,2024-10-03,2024-10-11,109763.71
155,Kolkata,Goa,2484,106.15,No,Train,Standard,Vegan,8,4,148567.4,Rainy,Weekend,No,Yes,4,2025-08-10,2025-08-18,37141.85
156,Lucknow,Goa,1976,97.18,No,Flight,Luxury,Non-Veg,14,1,77085.96,Rainy,Vacation,Yes,No,4,2024-08-28,2024-09-11,77085.96
157,Udaipur,Delhi,626,109.59,No,Train,Budget,Non-Veg,7,2,27546.72,Cloudy,Business,No,Yes,5,2025-06-20,2025-06-27,13773.36
158,Nagpur,Surat,717,104.91,No,Flight,Luxury,Veg,13,1,83657.64,Rainy,Business,No,Yes,3,2025-02-08,2025-02-21,83657.64
159,Nagpur,Ahmedabad,945,107.87,No,Flight,Luxury,Veg,12,2,194710.39,Rainy,Weekend,No,No,4,2024-07-24,2024-08-05,97355.19
160,Varanasi,Hyderabad,1199,96.72,No,Car,Budget,Non-Veg,14,2,50465.73,Sunny,Business,Yes,No,5,2024-07-18,2024-08-01,25232.86
161,Kerala,Lucknow,2684,105.27,No,Train,Budget,Veg,3,1,11977.32,Cloudy,Vacation,Yes,No,3,2024-04-19,2024-04-22,11977.32
162,Bhopal,Udaipur,577,110.67,Yes,Car,Standard,Veg,7,1,40692.07,Cloudy,Vacation,No,No,1,2024-12-02,2024-12-09,40692.07
163,Jaipur,Lucknow,627,108.31,No,Bus,Budget,Non-Veg,13,5,67324.26,Rainy,Vacation,Yes,No,4,2024-12-09,2024-12-22,13464.85
164,Kerala,Surat,1734,108.19,No,Train,Standard,Non-Veg,6,1,23930.8,Rainy,Vacation,No,No,3,2024-06-10,2024-06-16,23930.8
165,Chennai,Lucknow,2180,103.88,No,Flight,Luxury,Non-Veg,4,1,42900.57,Cloudy,Weekend,No,No,5,2024-10-12,2024-10-16,42900.57
166,Goa,Pune,439,95.66,No,Train,Luxury,Mixed,12,3,222039.86,Cloudy,Vacation,No,No,5,2025-08-23,2025-09-04,74013.29
167,Hyderabad,Lucknow,1292,111.76,No,Flight,Luxury,Non-Veg,2,5,134081.82,Sunny,Festival,No,No,4,2024-12-14,2024-12-16,26816.36
168,Agra,Jaipur,285,95.72,Yes,Bus,Standard,Mixed,15,1,92994.48,Cloudy,Festival,No,No,4,2025-01-08,2025-01-23,92994.48
169,Bangalore,Nagpur,1219,103.91,No,Flight,Budget,Veg,8,5,121895.11,Sunny,Weekend,No,Yes,5,2024-09-21,2024-09-29,24379.02
170,Bangalore,Kolkata,1776,102.07,No,Train,Standard,Vegan,8,1,43030.62,Cloudy,Vacation,No,No,4,2025-03-30,2025-04-07,43030.62
